SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,# CREW,# PASS,LIVES LOST,SHIP VALUE,NATURE OF CARGO,USLSS STATION NAME,MISC INFORMATION
Alfred & Charles,,,Sloop,,,9/12/1838,1838,9,12,Cape May,,,Grounded in gale,,,,,,,,0,,,,Total loss
Alfred C Harmer,,,Sloop,1873,"Bayport, NY",1/1/1897,1897,1,1,Little Egg LSS E 1.75 mi,,,Stranded,Wood,US,"Somers Point, NJ","Little Egg Harbor, NJ","New York, NY",2,0,0,"$1,000",Wood,Little Egg,#105279; Refloated
Alfred Hall,,G P Wright,Schooner,1854,"Perth Amboy, NJ",1/23/1871,1871,1,23,Little Egg Harbor,,,Stranded,,,"Baltimore, MD",,"New York, NY",5,0,6,,,#17,
Alfred W. Fiske,,Elihu Kelley,Schooner 3 masted,1872,"Bath, ME",11/16/1872,1872,11,16,Brigantine Beach,,,Stranded,,US,"Providence, RI","Baltimore, MD","Boston, MA",7,,0,"$25,000",Coal,Atlantic City #27,#105114; Refloated
Algol,James Baines,U S Maritime Admin,Transport,1943,"Oakland, CA",11/21/1991,1991,11,21,Shark River Artificial Reef,40-06-545 N,73-41-450 W,Explosives,Steel,US,NJ AR,SR,4,,,,,,,Sponsor - NJ Div Fish & Game
Algoma,,J F Whitney,Ship,1872,,5/18/1889,1889,5,18,Long Beach LSS N .5 mi,,,Stranded,,England,"Halifax, NS","Rio de Janiero, Brazil","New York, NY",19,,0,"$8,000",In ballast,Long Branch #5,Refloated
Alias,,,Motor vessel,1912,,8/20/1939,1939,8,20,"North Bergen, NJ",,,Fire,,,,,,5,,0,,,,#209671
Alice (1840),,,Brig,,,2/1840,1840,2,,Highland Light E 3 mi,,,Stranded,,US,"Bath, ME","Bath, ME",Cuba,,,,,,,"Ship, crew & cargo lost"
Alice (1841),,,Schooner,,,12/1841,1841,12,,Highlands Light N,,,Stranded,,US,"Plymouth, MA",,,,,,,,,Crew lost
Alice (1867),,,Brig,,,10/11/1867,1867,10,11,Sandy Hook,,,Stranded,,,,,,,10,,,,,
Alice (1879),,J S Winslow & Co,Bark,1874,"Deering, ME",7/18/1879,1879,7,18,Absecon SSE 35 mi,,,"Collision w/ ""San Miguel""",,US,"Portland, ME","Caibarien, Cuba","New York, NY",,,,,,,Partial loss; Put in to New York
Alice (1893),,M Jacobson,Bark,1865,"Damariscotta, ME",2/6/1893,1893,2,6,Long Beach LSS S 1.75 mi,,,Ran aground in fog,,Norway,"Arandal, Norway","Dunkirk, France","New York, NY",16,0,4,"$15,000",None,Long Beach & Ship Bottom,
Alice (1946),,,Motor vessel,1911,"Fairton, NJ",5/26/1946,1946,5,26,Hereford Inlet S 1 mi,,,,,,,,,1,0,0,,,,#222249
Alice B (1889),,,Schooner,1863,"Cleveland, OH",4/30/1889,1889,4,30,Hereford Inlet North bar,,,Stranded,Wood,US,"Barnstable, MA","Rondout, NY","Wilmington, DE",5,0,0,"$4,000",Cement,,#1459; Refloated
Alice B (1890),,,Schooner,1863,"Cleveland, OH",3/29/1890,1890,3,29,Absecon,,,Collision,Wood,US,"Barnstable, MA",,,,,,,,,#1459; Sank
Alice Belle,,,Schooner,1877,"Bath, ME",5/16/1896,1896,5,16,Ocean City LSS E 1.25 mi,,,Stranded,,US,"New London, CT","Gardiner, ME","Ocean City, NJ",6,0,0,"$3,500",Ice,Ocean City,#105156
Alice Hearn,,W S Hudson,Schooner,1880,"Milton, DE",9/11/1882,1882,9,11,Sandy Hook,,,Heavy Gale,,US,"Philadelphia, PA","Baltimore, MD","Boston, MA",,,,"$20,000",Coal,,#105903
Alice L Pearce,,,Schooner,,,11/23/1876,1876,11,23,,,,Stranded,,US,"Squan, NJ","Pamunkey River, VA","New York, NY",6,0,0,"$5,000",Tomatoes,Little Egg,#1725; Refloated
Alice Lee,,,Schooner,,,12/14/1859,1859,12,14,Squan Inlet S 2 mi,,,Stranded,Wood,US,,"Boston, MA","Philadelphia, PA",,,0,,In Ballast,,
Alice M Lewis,,Jesse Lewis,Schooner,1869,"Essex, MA",4/11/1879,1879,4,11,Townsends Inlet North bar,,,Stranded,,US,"Gloucester, MA","Gloucester, MA",,12,0,0,"$4,000","Ice, Salt",Townsends Inlet,#1794; $750 of cargo recovered
Alice M Ridgway (1868),,,Schooner,1864,"Tuckerton, NJ",3/20/1868,1868,3,20,Cape May Fishing Creek,,,Stranded; Capsized,Wood,US,"Tuckerton, NJ","Cape May, NJ","Philadelphia, PA",4,0,4,"$1,600",Gravel,,#521; Refloated; Repaired
Alice M Ridgway (1877),,,Schooner,1864,"Tuckerton, NJ",2/14/1877,1877,2,14,Cold Spring Inlet South bar,,,Stranded,Wood,US,Cape May. NJ,"Philadelphia, PA","Cape May, NJ",3,0,0,"$1,600",Coal,Cape May #39,#521
Alice Ridgway (1888),,William E Cranmer,Sloop,1880,"Tuckerton, NJ",3/12/1888,1888,3,12,Little Egg LSS N .25 mi,,,Stranded,Wood,US,"Tuckerton, NJ","Manahawkin, NJ","New York, NY",2,0,0,$800,Oysters,Little Egg,#105893; Refloated
Alice Ridgway (1897),,William E Cranmer,Sloop,1880,"Tuckerton, NJ",9/17/1897,1897,9,17,"Billingsport, NJ",,,Struck on jetty,,US,"Tuckerton, NJ","Beach Haven, NJ","Chester, PA",3,0,,$800,Coal,,#105893; Total loss
Alice Starratt,,C W Berteux,Brig Half,1866,"Rockland, MA",4/27/1874,1874,4,27,Sandy Hook SExE 90 mi,,,Disabled,,,"Halifax, NS","Port Caledonia, Cape Breton",,,,,,,,Towed to NY
Alicia B Crosby,,E.S. Crosby,Schooner,1889,"Bath, ME",1/31/1911,1911,1,31,Avalon LSS ENE 1.5 mi,,,Stranded,,US,"Bath, ME","Portland, ME","Philadelphia, PA",10,0,0,"$50,000",None,Avalon,#106682; Refloated
Alida A Smith,,R Rose,Brig,1876,,3/15/1886,1886,3,15,Hereford Inlet South bar,,,Stranded,,,"Windsor, NS","Cienfuegos, Cuba",Delaware Breakwater,7,0,0,$6,Molasses,Hereford Inlet,
Alisha Marie,,Robert Elsey,Scallop boat,2003,,12/23/2009,2009,12,23,Barnegat Light E 26 mi,,,Capsized,Steel,US,"Pt Pleasant, NJ","Pt Pleasant Beach, NJ",Fishing service,3,,2,,,USCG Barnegat Light,NJ8965GT
Alknamook,,,Schooner,,"New London, CT",1/4/1876,1876,1,4,"Long Branch, NJ",,,Stranded,,,,"New York, NY",Fishing Banks,6,,0,"$4,000",None,#4,
Allair,,,Sailing ship,,,4/3/1740,1740,4,3,Sandy Hook,,,Foundered,,,,,,,,,,,,
Allan R,,,Tug,,,3/26/2004,2004,3,26,Cape May Artificial Reef,38-51-475 N,74-42-029 W,Scuttled,Steel,US,NJ AR,CM,186,,,,,,,Sponsor - Ann E Clark Foundation
Allen Osborn,,,Schooner,,,1838 - 1878,1860,,,Barnegat Inlet N 1-2 mi,,,Stranded,,,,,,,,,,,,
Allentown (1879),,Philadelphia & Reading RR Co,Steamship Aux. Sail,1874,"Philadelphia, PA",1/25/1879,1879,1,25,"Hereford Inlet, NJ",,,Dismasted,,,"Philadelphia, PA","Philadelphia, PA","Boston, MA",18,,0,"$200,000",1603 ton coal,,#105409; Made Philadelphia for repairs
Allentown (1886),,Philadelphia & Reading RR Co,Steamship Aux. Sail,1874,"Philadelphia, PA",2/26/1886,1886,2,26,Barnegat E,,,Lost main mast,,,"Philadelphia, PA","Boston, MA","Philadelphia, PA",18,,0,"$127,000",In ballast,,#105409; Repaired
Allentown (1917),,,Barge,1908,"Noank, CT",3/31/1917,1917,3,31,Highlands,,,"Collision w/ ""Coamo""",,,,,,,,,,,,#205508
Allie B Cathrall,,,Schooner,1885,"Milford, DE",11/16/1893,1893,11,16,Absecon Inlet,,,Grounded,Wood,US,"Wilmington, DE","New York, NY","Atlantic City, NJ",5,,0,"$5,000",Lumber,,#106343; Refloated
Allie Bickmore,,,Schooner,,,7/12/1874,1874,7,12,Long Beach Island,,,Stranded,,,,,,,,,,Corn,,
Allies,,T Cowan,Brig,1855,Nova Scotia,3/30/1863,1863,3,30,Corsons Inlet,,,Foundered,,England,"Whitehaven, England","Cow Bay, NS","New York, NY",10,,0,,"Cotton, Wool, hides",,Ship lost; cargo saved
Alma (1908),,,Tug steam,1905,"Manchester, VA",12/22/1908,1908,12,22,Cold Spring LSS E 2.5 mi,,,Foundered,,,"Richmond, VA","Bellevue, DE","Cold Spring, NJ",5,,0,"$7,500",,Cold Spring & 2 mile Beach,#202292; Sank w Barge No 4 in tow
Alma (1924),,Gustave Johnson,Motor vessel gas,1917,"Wildwood, NJ",1/5/1924,1924,1,5,Five Fathom Bank Lightship,,,Foundered after engine failure,Wood,,"Philadelphia, PA","Wildwood, NJ",Fishing trip,5,,0,"$2,000",200 lb cod,,#214953; Total loss
Almar,,,Yacht motor,1933,,6/28/1937,1937,6,28,Stone Harbor SE,,,Burned,,,,,,1,,0,,,,#232794; Total loss
Almirante,Flour Wreck,United Fruit Co,Passenger cargo ship,1909,"Belfast, Ireland",9/6/1918,1918,9,6,Atlantic City ESE 9 mi,39-21-12 N,74-11-31 W,"Collision w/ ""USS Hiasko""",Steel,US,"New York, NY","New York, NY","Havana, Cuba",98,7,5,,"Flour, general cargo",,Hydro # 596
Aloha,,,,,,5/8/1907,1907,5,8,Barnegat,,,,,,,,,,,,,,,"Ring buoy marked ""Aloha"" found on beach"
Alpha,,,Freighter,1881,"Philadelphia, PA",12/31/1911,1911,12,31,Atlantic City N 1 mi,,,Stranded,Iron,US,"Somers Point, NJ","Philadelphia, PA","Atlantic City, NJ",13,,0,"$25,000",General,Absecon & Atlantic City,Refloated
Altair,,Socony Vacuum Oil Co,Tanker,1920,"Chester, PA",11/21/1943,1943,11,21,Delaware Bay entrance,,,"Collision w/ ""Bostonian""",,,"New York, NY","Puerto la Cruz, Venezuala","Paulsboro, NJ",59,,10,,Crude oil,,Burned; Total loss
Altavela,,Rufus C Wells,Schooner,1853,"Searsport, ME",5/2/1884,1884,5,2,Barnegat LSS ENE 1 mi,,,Stranded,,,"Brooklin, ME","Blue Hill, ME","Washington, DC",5,,0,"$3,000",Stone,Barnegat,#211; Total loss
Altavelia,,Allen C Holt,Schooner,1870,"Ellsworth, ME",11/6/1866,1866,11,6,Delaware Capes N 10 mi,,,Capsized in gale,,,"Ellsworth, ME",,,,,0,,1000 bbls fish oil,,#1957; Crew saved
Alva B,,E H Hallman,Launch gas,,,7/29/1906,1906,7,29,Hereford Inlet bar,,,Capsized in storm,,,"Grassy Sound, NJ","Anglesea, NJ",Fishing trip,11,,1,$400,,Hereford Inlet,"Also see ""Nora"""
Alva Cape,,Alva SS Co,Tanker,1953,"Greenock, Scotland",6/16/1966,1966,6,16,"Kill van Kull, NY",,,"Collision w/ ""Texaco Massachusetts""",Steel,England,"London, England",,"Kill van Kull, NY",,,33,,"143,000 bbls naptha",,Exploded; Later scuttled at sea
Alvega,,Stephenson & Smith,Bark,1874,"River John, NS",4/5/1886,1886,4,5,Barnegat SE 15 mi,,,"Collision w/ ""Quebec""",,Norway,"Arendal, Norway","Amsterdam, Neth","Philadelphia, PA",,,,,,,Partial Loss; towed in
Alvena,Glengyle,Atlas SS Co,Steamship,1870,"Glasgow, Scotland",1/19/1897,1897,1,19,Sandy Hook,,,"Collision w/ ""British Queen"" ",Iron,England,"Liverpool, England","New York, NY",Haiti,46,2,0,,General,,"Crew rescued by ""Walter Adams""; Total loss"
Always Late,,,Sport fishing boat,,,9/19/2009,2009,9,19,Cape May E 55 mi,,,Flooded; Sank,,US,,"Ocean City, MD",Fishing trip,8,,0,,,USCG Atlantic City,"Rescued by ""Marli""; Kept fishing"
Amagagoc,,,Morgan 41',,,5/20/1972,1972,5,20,Brigantine,,,Stranded,,,,,,,,,,,,"Refloated; See ""Five Sloops"""
Amazing Grace,,Wanchese Fishing Co,Fishing trawler,,,11/15/1984,1984,11,15,"Ocean City, MD E 100 mi",,,Lost at sea,Steel,US,"Hampton, VA",,,9,,9,"$500,000",,,Pesummed lost
Amazon,,,Schooner,,,4/26/1851,1851,4,26,Barnegat NE 8 mi,,,"Collision w/ ""Kenebec""",,,"Philadelphia, PA","New York, NY","Philadelphia, PA",,,,,In ballast,,Total loss
Amberjack III,,Vincent Ardolino,Fishing boat,1946,"Bayonne, NJ",7/13/1969,1969,7,13,Sandy Hook,,,"Collision w/ ""Tullahoma""",Wood,US,"New York, NY","Sheepshead Bay, NY",Fishing trip,48,,1,,,,#251229; Sank
Ambrose Lightship,,U S Coast Guard,Lightship,,,3/28/1950,1950,3,28,Sandy Hook,,,"Rammed in fog by ""Santa Monica""",,,,,,,,,,,,Hull punctured
Ambrose Relief #505,Relief Lightship #505,U S Coast Guard,Relief Lightship,1904,"Camden, NJ",6/24/1960,1960,6,24,Ambrose Channel,40-27-00 N,73-49-06 W,"Collision w/ ""Green Bay""",Steel,US,"New York, NY",,Lightship service,9,,0,,,,Sank; Crew rescued
Ambrose Snow No 12,,,Pilot boat,,,5/13/1912,1912,5,13,New York Harbor Lower Bay,,,"Collision w/ ""Delaware""",,,,,,,,0,,,,Refloated
Amelia (1811),,,Ship,,,2/16/1811,1811,2,16,Sandy Hook,,,Wrecked,,England,,England,"New York, NY",,,,,,,Total loss
Amelia (1860),,,Ship,,,3/20/1860,1860,3,20,Great Egg Harbor bar,39-17-30 N,74-32-30 W,Stranded & bilged,,,"New York, NY","New Orleans, LA","New York, NY",16,,,"$60,000",Flour,,Total loss
Amelia (1864),,,Bark,,,4/10/1864,1854,4,10,Long Beach Island,,,Grounded,,England,,"Demerara, British Guiana","New York, NY",,,,,"Brandy, molasses",,
Amelia (1870),,,Schooner,,,2/11/1870,1870,2,11,Sandy Hook,,,Collision,,,,"New York, NY",Virginia,,,,,,,Towed to NY for repairs
Amelia (1924),,Atlantic Naval Co,Steamship,1906,"Wallsend-on-Tyne, England",2/18/1924,1924,2,18,Brigantine Shoal,,,Stranded,Steel,US,"New York, NY",,,23,,,"$60,000",Bananas,,#215327; Refloated
Amelia Brewer,,Welsh & Cower,Bark,1853,"Rockland, ME",4/10/1864,1864,4,10,Townsends Inlet,,,Grounded,,,,"New Orleans, LA","Boston, MA",,,,,"Cotton, Molasses, etc.",,
Amelia Furman,,,Schooner,,,11/28/1902,1902,11,28,"Long Branch, NJ",,,"Pucntured, Bilged at anchor",,,,,,4,,0,,,Long Branch,
Amelia Hodgkins,,,Schooner,,,3/3/1877,1877,3,3,Egg Harbor,,,Lost sails and masthead,,,,Chesapeake,"Provincetown, MA",,,,,,,Partial loss
Amelia P Schmidt (1886),,,Schooner,1883,"Dennisville, NJ",5/16/1886,1886,5,16,"Long Branch, NJ",,,Damaged in squall,,,"Bridgeton, NJ",Domingo City,"New York, NY",,,,,,,#106235
Amelia P Schmidt (1887),,,Schooner,1883,"Dennisville, NJ",5/13/1887,1887,5,13,Cape May LSS S 2 mi,,,Stranded,,,"Bridgeton, NJ","Kennebec River, ME","Bridgeton, NJ",7,,0,"$30,000",#106235,Cape May,#106235
Amelia P Starkey,,Kelly et al,Schooner,1853,"Essex, MA",5/9/1855,1855,5,9,Highlands E 8 mi,,,Dismasted,,,,,,,,,,,,
Amelia Priest,,,Bark,,,10/29/1864,1864,10,29,Highlands SE 40 mi,,,"Collision w/ ""Kenneth""",,,,"Philadelphia, PA","Havre, France",,,,,,,Made NY for repairs
America (1855),,,Tug steam,,,2/1855,1855,2,,Cape May,,,In distress,,,,,,,,,,,,Caught in ice
America (1866),,,Steamship,,"Hoboken, NJ",10/5/1866,1855,10,5,Barnegat Shoal,,,Stranded,,US,,"Wilmington, DE","New York, NY",20,,0,,Cotten,,
America (1875),,,Sloop,1839,"Stonington, CT",3/19/1875,1875,3,19,Little Egg Harbor bar,,,Grounded,,,,,,6,,0,"$1,500",Cod,Little Egg,#1013; Refloated
America (1879),,,Sloop,1839,"Stonington, CT",2/20/1879,1879,2,20,Little Egg Harbor,,,Stranded,,,"Greenport, NY",,"New York, NY",,,,,Cod,,#1013; Refloated
America (1910),,,Steamship,1907,,11/2/1910,1910,11,2,"Rancocas Creek, NJ",,,Burned,,,,,,3,,0,,,,#204568
American (1851),,,Brig,,,4/4/1851,1851,4,4,Long Beach Island,,,Stranded; Bilged,,US,,"Savannah, GA","New York, NY",,,,,,,Total loss
American (1909),,,Freighter steam,1900,"Chester, PA",12/21/1909,1909,12,21,Brigantine LSS SE 4 mi,,,Stranded,Steel,,"New York, NY","Puerto, Mexico","New York, NY",46,,,"$500,000",General,Brigantine,#107591
American (1913),,Standard Oil Co of NJ,Steamship,1892,"Newcastle, England",2/22/1913,1913,2,22,Sea Isle City LSS E .75 mi,,,Stranded,Steel,Netherlands,"Rotterdam, Holland","Antwerp, Belgium","Philadelphia, PA",37,,0,"$100,000",in ballast,Sea Isle City,Refloated
American (1918),,,Transport,,,10/18/1918,1918,10,18,"Hoboken, NJ",,,Sank at pier,,,,,,,,,,,,
American (1925),,,Tanker barge,1898,"New York, NY",10/14/1925,1925,10,14,Absecon Light,39-14-40 N,74-22-50 W,Stranded,Steel,US,"Baltimore, MD",,,4,,0,,,,#107433
American (1985),Roy M,The Lobster House,Schooner,1921,"Essex, MA",6/3/1985,1985,6,3,Atlantic City Artificial Reef,39-13-855 N,74-12-332 W,Opened hull,Wood,US,NJ AR,AC,3,,,,,,,Cocktail lounge in Cape May for 20 years
American System,,,Schooner,,,9/12/1838,1838,9,12,Little Egg Harbor,,,Stranded in gale,,,"Staten Island, NY",Virginia,"New York, NY",,,,,General,,Driven ashore
Amerika,,,Bark,,,12/26/1841,1841,12,26,Sandy Hook,,,Sank,,Sweden,,"Trapani, Italy","New York, NY",,,,,,,
Amity,,,Packet ship,1816,"New York, NY",4/23/1824,1824,4,23,Squan Beach,,,Stranded in fog,,,,"Liverpool, England","New York, NY",,,,,,,
Amos Briggs,,,Schooner,1868,"Cornwall, NY",4/14/1921,1921,4,14,Sandy Hook,,,Stranded,,,"Newark, NJ",,,7,,0,,,,#1401
Amy Keller,,,Tug,,,2/18/1940,1940,2,18,"Hoboken, NJ",,,Sank,,,,,,,,1,,,,
Anastasia,,Southern Transportation Co,Barge,1919,"Jacksonville, FL",2/15/1933,1933,2,15,Seaside Heights E 9 mi,39-57-00 N,73-53-00 W,Foundered,Wood,,"Philadelphia, PA","Norfolk, VA","New York, NY",4,,4,"$40,000",,,#219004; Hydro Office #213
Anderson (1863),,,Ship,,,9/7/1863,1863,9,7,Absecon Beach,39-14-40 N,74-36-30 W,Grounded,,Italy,"Lisbon, Portugal","Lisbon, Portugal","New York, NY",16,,,,"Wool, marble, salt, wood",,Total loss
Anderson (1871),,,Sloop,,,3/16/1871,1871,3,16,Atlantic City Lighthouse,,,Stranded,,,,"New York, NY",,,,,,Clams,,Probably refloated
Andes (1894),,Atlas SS Co,Steamship,1865,"Glasgow, Scotland",1/22/1894,1894,1,22,Little Egg Harbor S 4 mi,,,Stranded,Iron,England,"Kingston, England","Sabanilla, Equador","New York, NY",42,,0,"$150,000",General,Litle Beach & Little Egg,#5426; Refloated
Andrea Doria,,Societa di Navigazione Italia,Passenger liner,1950,"Genoa, Italy",7/25/1956,1956,7,25,Nantucket Island SE 45 mi,40-29-408 N,69-51-046 W,"Collision w/ ""Stockholm""",Steel,Italy,"Genoa, Italy","Genoa, Italy","New York, NY",575,1241,47,,,,sank in 11 hours
Andrew,,,Merchantman,,,1820,1820,,,Barnegat Beach,,,Stranded,,,,"Liverpool, England","Philadelphia, PA",,,0,,Assorted cargo,,Crew & cargo saved
Andrew H Edwards,,,Schooner,1866,"Camden, NJ",6/28/1888,1888,6,28,Island Beach LSS S 1 mi,,,Stranded,Wood,US,"Boston, MA","Fairhaven, MA","Philadelphia, PA",5,,0,"$4,000",,,#934; Total loss
Andrew Jackson,,D D Kelley,Barge,1864,"Boston, MA",,,,,Sandy Hook Romer Shoal,,,,,,"Boston, MA",,,,,,,,,Never lost or damaged
Andrew Jackson (1818),,Rogers & Schermerhotn,Sailing Ship,,,11/26/1818,1818,11,26,Barnegat,39-36-00 N,74-12-06 W,Stranded,Wood,US,,"Bristol, England","New York, NY",,60,0,,Heavy assorted cargo,,Some cargo saved; ship total loss
Andrew Nebinger,,Phil Fitzpatrick & J May,Schooner,1873,"Milford, DE",3/12/1888,1888,3,12,Highlands Light,,,Collision,Wood,,"Philadelphia, PA","Jacksonville, FL","New York, NY",7,,,"$7,000",440 ton Yellow pine lumber,,#105299
Andria Doria,,Revolutionary Navy,Brig,,,11/1777,1777,11,,Delaware River,,,Burned,Wood,US,,,,130,,,,,,Burned to prevent British capture
Angelina,,,Brig,,,9/1853,1853,9,,Highlands SE 12 mi,,,Capsized,,,"Boston, MA","Boston, MA","Philadelphia, PA",,,,,,,Sank; Total loss
Angelina Brewer,,,Bark,,,2/20/1864,1864,2,20,Pecks Beach,39-14-40 N,74-36-50 W,Stranded,,,"New York, NY","New Orleans, LA","New York, NY",,,0,,Cotton,,Total loss
Angeline Corning,,,Steamship,1852,,11/21/1872,1872,11,21,"Guttenberg, NJ",,,Burned,,,,,,,,,,,,
Angelo's Reef,Hail Mary II,,Fishing boat,1993,,11/4/2006,2006,11,4,Axel Carlson Artificial Reef,40-02-625 N,73-59-205 W,Scuttled,Steel,US,NJ AR,AXC,436,,,,,,,Sponsor - Greater Pt Pleasant CBA
Angenoria,,,Schooner,,,11/29/1838,1838,11,29,Barnegat N 10 mi,,,Stranded,,,,"Philadelphia, PA","New York, NY",,,,,Coal,,Total loss
Angie and Irene,,William Pegler & Sons,Fishing boat,1957,"Moorehead City, NC",12/31/1962,1962,12,31,Cape May,,,Disabled in storm,Wood,,"Philadelphia, PA","Atlantic City, NJ",Fishing service,3,,0,,,USCG,#273401; Towed in by USCG
Angie Predmore (1880),,John Predmore,Schooner,1869,"Barnegat, NJ",12/26/1880,1880,12,26,Little Beach,,,Stranded,,,"Tuckerton, NJ",,,6,,0,"$2,500",,Little Beach,#1799; Refloated
Angie Predmore (1885),,John Predmore,Schooner,1869,"Barnegat, NJ",8/14/1885,1885,8,14,Absecon Inlet North shoal,,,Stranded,,,"Tuckerton, NJ","Norfolk, VA","Derby, CT",6,,0,"$2,500",Lumber,Atlantic City,#1799; Condemned
Angielena,,,Schooner,1900,"Gloucester, MA",4/26/1904,1904,4,26,Sandy Hook Point,,,Stranded,Wood,,"Boston, MA",,Fishing trip,8,0,0,"$5,000",,Sandy Hook,#107536; Refloated
Angora,Angola,,Brig,,,12/1/1847,1847,12,1,Squan Inlet S 10.5 mi,,,Grounded; Bilged,,,,"New York, NY","Philadelphia, PA",8,,0,"$12,000",,,"Total loss; aka ""Angola"""
Anita,,James Henderson,Brig,1875,"Bath, ME",2/16/1885,1885,2,16,Cold Spring Inlet South bar,,,Stranded,Wood,US,"New York, NY",Venezuela,"New York, NY",8,2,0,"$10,000","Hides, deerskin, coffee",Colld Spring,#105185; Total loss
Anita Owen,,Peck & Church,Brig,1855,"Milbridge, NJ",12/1856,1856,12,,Delaware Bay,,,Lost spars; Jib boom,Wood,,"New York, NY","Nuevitas, Cuba","New York, NY",,,,,,,Crew frost bitten
Ann,,,Schooner,,,9/2/1847,1847,9,2,Absecon bar,,,Stranded,,,,"Philadelphia, PA","Boston, MA",,,0,"$2,000",,,Abandoned by crew
Ann Carlet,,Samuel Adams,Schooner,1861,"Castine, ME",1/2/1870,1870,1,2,Squan Beach,,,Grounded,Wood,US,"Castine, ME","Baltimore, MD","Fall River, MA",5,,0,,7000 bu corn,,#335; Total loss
Ann Cooley (1888),,,Schooner,1853,"Elizabethport, NJ",8/5/1888,1888,8,5,Little Egg Harbor,,,Grounded,Wood,US,"Somers Point, NJ","Croaton, NC","Atlantic City, NJ",3,2,0,"$1,800",Bricks,Little Egg,#708; Refloated
Ann Cooley (1889),,,Schooner,1853,"Elizabethport, NJ",10/11/1889,1889,10,11,Barnegat Inlet,,,Grounded,Wood,US,"Somers Point, NJ","New York, NY","Atlantic City, NJ",3,1,0,"$1,500",Bricks,Barnegat,#708; Refloated
Ann E Clark,,A J McAllister,Tug,,,9/25/2003,2003,9,25,Deepwater Artificial Reef,38-58-004 N,74-10-721 W,Scuttled,Steel,US,NJ AR,DW,57,,,,,,,"Sponsor - Ann E Clark, et al"
Ann Eliza B,,,Schooner,,,3/2/1856,1856,3,2,"Highlands, NJ",,,Wrecked,,,,"Philadelphia, PA","Boston, MA",5,,0,,,,Crew badly frozen
Ann Elizabeth (1846),,,Schooner,,,9/8/1846,1846,9,8,Little Egg Harbor,,,Grounded,,,,,,,,0,,Coal,,Total loss
Ann Elizabeth (1852),,,Schooner,,,3/5/1852,1852,3,5,Hereford Inlet bar,,,Stranded & bilged,,,,,,,,0,,50 bbls flour,,Total loss
Ann H Hickman,A H Hickman,Jeremiah Smith & Co,Schooner,1875,"Millville, NJ",3/24/1878,1876,3,24,Sandy Hook,,,Struck sunken ship,Wood,US,"Philadelphia, PA","Philadelphia, PA","Portland, ME",7,,0,"$20,000",316 ton Steel rails,,#105506; Total loss
Ann Hooper,,Eastern Transportation Co,Schooner - Barge,1915,"Bath, ME",2/7/1942,1942,2,7,Brigantine Shoal,39-27-45 N,74-17-14 W,Foundered,Steel,US,"Wilmington, DE",,,3,,0,,,,#213708; Total loss
Ann J Trainer,,H W Derickson,Schooner,1881,"Camden, NJ",9/6/1894,1894,9,6,Absecon,,,"Collision w/ ""S E Marvin""",Wood,US,"Philadelphia, PA","Kennebec, ME","Philadelphia, PA",4,3,0,"$15,000",692 ton ice,,#106031
Ann Jane,,,Brig,,,4/1808,1808,4,,Cape May,,,Stranded & bilged,,,,,"Bordeaux, France",,,,,,,
Ann Jane Laughlin,,,Tug steam,1863,"Wilmington, DE",4/14/1890,1890,4,14,Sandy Hook Bay,,,Burned,Wood,US,"New York, NY",,,6,,0,"$7,000",None,Sandy Hook,#6363; Total loss
Ann Louisa Lockwood,,,Schooner,1869,"Norwalk, CT",11/5/1884,1884,11,5,Hereford Inlet South bar,,,Grounded,,,"Boston, MA","Boston, MA","Philadelphia, PA",7,,0,"$12,000",Ballast,Hereford Inlet,#1812; Refloatd
Ann Marie Tracy,,,Tug,,,10/1/1948,1948,10,1,Hudson River,,,"Collision w/ ""Eliza J Nicholson""",,,,,,,,,,,,Sunk
Ann S Brown,,Fisk,Schooner,1871,,5/20/1873,1873,5,20,Sandy Hook,,,Stranded,Wood,US,"Dennisville, NJ","Baltimore, MD","Boston, MA",,,,,,,Refloated; Towed to New York
Ann S Cannon,,James Nelson,Schooner,1857,"Philadelphia, PA",9/4/1878,1878,9,4,Little Egg Harbor Inlet,,,Stranded,Wood,US,"Philadelphia, PA","Georgetown, DC","Pawtucket, RI",5,,0,"$10,000",252 ton coal,Little Egg Harbor #23,#930; Total loss
Ann W Baker,,,Schooner,,,5/17/1853,1853,5,17,Five Fathom Bank Lightship N 2 mi,,,Sank,,,,"Elizabeth City, NC","New York, NY",,,,,Fish,,
Anna (1872),,Perst & Co,Brig,1856,Bermuda,4/9/1872,1872,4,9,Highlands SSE 16 mi,,,"Collision w/ ""Narragansett""",,England,Bermuda,Caribbean,"New York, NY",,,,,,,"Abandoned; Towed to NY by ""Wiley Smith"""
Anna (1885),,F Edge & Co,Bark,1873,"Grimstad, Norway",7/7/1885,1885,7,7,Seabright LSS S .5 mi,,,Stranded,Wood,Sweden,"Sandsvall, Sweden","Aracaju, Brazil","New York, NY",10,,0,"$7,000",Sugar,Seabright,Refloated
